tconst	averageRating	numVotes
tt0000001	5.6	1546
tt0000002	6.1	187
tt0000003	6.5	1203
tt0000004	6.2	114
tt0000005	6.1	1930
tt0000006	5.2	102
tt0000007	5.5	615
tt0000008	5.4	1660
tt0000009	5.4	81
tt0000010	6.9	5532
tt0000011	5.2	236
tt0000012	7.4	9419
tt0000013	5.7	1443
tt0000014	7.1	4105
tt0000015	6.1	738
tt0000016	5.9	1081
tt0000017	4.7	214
tt0000018	5.4	446
tt0000019	5.6	16
tt0000020	5.0	248
tt0000022	5.1	805
tt0000023	5.6	1025
tt0000024	5.0	26
tt0000025	4.5	24
tt0000026	5.7	1231
tt0000027	5.5	847
tt0000028	5.1	778
tt0000029	5.9	2632
tt0000030	5.2	647
tt0000031	5.5	751
tt0000032	5.2	312
tt0000033	5.5	789
tt0000034	5.4	115
tt0000035	5.7	51
tt0000036	4.5	452
tt0000037	4.6	39
tt0000038	4.1	136
tt0000039	3.9	13
tt0000040	4.1	35
tt0000041	6.6	1310
tt0000042	4.5	19
tt0000043	4.0	11
tt0000044	4.6	25
tt0000045	4.4	16
tt0000046	4.2	16
tt0000047	3.6	14
tt0000048	4.9	114
tt0000049	5.3	23
tt0000050	4.2	14
tt0000051	3.9	12
tt0000052	4.5	49
tt0000053	2.8	8
tt0000054	5.2	17
tt0000055	3.9	14
tt0000056	3.4	10
tt0000057	4.4	13
tt0000058	4.1	14
tt0000059	3.7	11
tt0000060	7.8	60
tt0000061	4.0	13
tt0000062	6.5	152
tt0000063	3.7	10
tt0000064	3.5	11
tt0000065	3.7	11
tt0000066	3.8	11
tt0000067	5.8	39
tt0000068	4.0	11
tt0000069	4.9	319
tt0000070	6.4	2080
tt0000071	3.7	14
tt0000072	4.2	13
tt0000073	4.0	11
tt0000074	4.2	15
tt0000075	6.3	1403
tt0000076	4.5	394
tt0000077	4.8	17
tt0000078	4.3	45
tt0000079	4.4	17
tt0000080	4.1	13
tt0000081	4.1	14
tt0000082	4.9	22
tt0000083	4.8	16
tt0000084	4.1	14
tt0000085	4.8	16
tt0000086	4.1	14
tt0000087	4.8	17
tt0000088	4.7	14
tt0000089	6.2	768
tt0000090	4.0	13
tt0000091	6.7	2501
tt0000092	4.6	11
tt0000093	5.0	62
tt0000094	4.2	13
tt0000095	4.8	18
tt0000096	4.5	11
tt0000097	4.9	17
tt0000098	5.5	18
tt0000099	4.7	14
tt0000100	4.9	30
